@relation Spambase-weka.filters.unsupervised.attribute.Remove-R55-57-weka.filters.unsupervised.attribute.NumericToBinary-Rfirst-last

@attribute word_freq_make_binarized {0,1}
@attribute word_freq_address_binarized {0,1}
@attribute word_freq_all_binarized {0,1}
@attribute word_freq_3d_binarized {0,1}
@attribute word_freq_our_binarized {0,1}
@attribute word_freq_over_binarized {0,1}
@attribute word_freq_remove_binarized {0,1}
@attribute word_freq_internet_binarized {0,1}
@attribute word_freq_order_binarized {0,1}
@attribute word_freq_mail_binarized {0,1}
@attribute word_freq_receive_binarized {0,1}
@attribute word_freq_will_binarized {0,1}
@attribute word_freq_people_binarized {0,1}
@attribute word_freq_report_binarized {0,1}
@attribute word_freq_addresses_binarized {0,1}
@attribute word_freq_free_binarized {0,1}
@attribute word_freq_business_binarized {0,1}
@attribute word_freq_email_binarized {0,1}
@attribute word_freq_you_binarized {0,1}
@attribute word_freq_credit_binarized {0,1}
@attribute word_freq_your_binarized {0,1}
@attribute word_freq_font_binarized {0,1}
@attribute word_freq_000_binarized {0,1}
@attribute word_freq_money_binarized {0,1}
@attribute word_freq_hp_binarized {0,1}
@attribute word_freq_hpl_binarized {0,1}
@attribute word_freq_george_binarized {0,1}
@attribute word_freq_650_binarized {0,1}
@attribute word_freq_lab_binarized {0,1}
@attribute word_freq_labs_binarized {0,1}
@attribute word_freq_telnet_binarized {0,1}
@attribute word_freq_857_binarized {0,1}
@attribute word_freq_data_binarized {0,1}
@attribute word_freq_415_binarized {0,1}
@attribute word_freq_85_binarized {0,1}
@attribute word_freq_technology_binarized {0,1}
@attribute word_freq_1999_binarized {0,1}
@attribute word_freq_parts_binarized {0,1}
@attribute word_freq_pm_binarized {0,1}
@attribute word_freq_direct_binarized {0,1}
@attribute word_freq_cs_binarized {0,1}
@attribute word_freq_meeting_binarized {0,1}
@attribute word_freq_original_binarized {0,1}
@attribute word_freq_project_binarized {0,1}
@attribute word_freq_re_binarized {0,1}
@attribute word_freq_edu_binarized {0,1}
@attribute word_freq_table_binarized {0,1}
@attribute word_freq_conference_binarized {0,1}
@attribute char_freq_;_binarized {0,1}
@attribute char_freq_(_binarized {0,1}
@attribute char_freq_[_binarized {0,1}
@attribute char_freq_!_binarized {0,1}
@attribute char_freq_$_binarized {0,1}
@attribute char_freq_#_binarized {0,1}
@attribute is_spam {0,1}

@data
0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1
0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1
1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1
0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
